user_id,event,timestamp,device,traffic_source,country
user_1,landing_page,2023-05-21 04:38:00,Tablet,Email,CA
user_1,product_view,2023-05-21 05:00:00,Tablet,Email,CA
user_1,add_to_cart,2023-05-21 05:19:00,Tablet,Email,CA
user_2,landing_page,2023-06-03 20:59:00,Tablet,Paid Ads,BR
user_2,product_view,2023-06-03 21:21:00,Tablet,Paid Ads,BR
user_3,landing_page,2023-06-01 01:26:00,Mobile,Organic Search,AU
user_4,landing_page,2023-06-09 16:18:00,Mobile,Paid Ads,CA
user_5,landing_page,2023-06-11 09:49:00,Tablet,Social Media,US
user_6,landing_page,2023-05-17 08:32:00,Mobile,Email,US
user_6,product_view,2023-05-17 08:50:00,Mobile,Email,US
user_7,landing_page,2023-05-24 06:35:00,Desktop,Paid Ads,IN
user_8,landing_page,2023-06-05 00:50:00,Tablet,Direct,FR
user_8,product_view,2023-06-05 01:22:00,Tablet,Direct,FR
user_8,add_to_cart,2023-06-05 02:00:00,Tablet,Direct,FR
user_8,checkout_start,2023-06-05 02:45:00,Tablet,Direct,FR
user_8,purchase_complete,2023-06-05 03:09:00,Tablet,Direct,FR
user_9,landing_page,2023-05-18 00:17:00,Tablet,Direct,FR
user_9,product_view,2023-05-18 00:51:00,Tablet,Direct,FR
user_9,add_to_cart,2023-05-18 01:08:00,Tablet,Direct,FR
user_9,checkout_start,2023-05-18 01:26:00,Tablet,Direct,FR
user_9,purchase_complete,2023-05-18 01:51:00,Tablet,Direct,FR
user_10,landing_page,2023-06-10 16:07:00,Desktop,Organic Search,AU
user_10,product_view,2023-06-10 16:52:00,Desktop,Organic Search,AU
user_10,add_to_cart,2023-06-10 17:11:00,Desktop,Organic Search,AU
user_10,checkout_start,2023-06-10 17:34:00,Desktop,Organic Search,AU
user_10,purchase_complete,2023-06-10 18:07:00,Desktop,Organic Search,AU
user_11,landing_page,2023-05-16 03:54:00,Tablet,Email,DE
user_11,product_view,2023-05-16 04:19:00,Tablet,Email,DE
user_11,add_to_cart,2023-05-16 04:53:00,Tablet,Email,DE
user_11,checkout_start,2023-05-16 05:11:00,Tablet,Email,DE
user_11,purchase_complete,2023-05-16 05:23:00,Tablet,Email,DE
user_12,landing_page,2023-05-27 05:43:00,Tablet,Direct,UK
user_12,product_view,2023-05-27 05:55:00,Tablet,Direct,UK
user_12,add_to_cart,2023-05-27 06:33:00,Tablet,Direct,UK
user_12,checkout_start,2023-05-27 07:01:00,Tablet,Direct,UK
user_12,purchase_complete,2023-05-27 07:31:00,Tablet,Direct,UK
user_13,landing_page,2023-05-01 18:54:00,Tablet,Direct,AU
user_13,product_view,2023-05-01 19:23:00,Tablet,Direct,AU
user_14,landing_page,2023-05-19 05:21:00,Desktop,Email,CA
user_14,product_view,2023-05-19 05:46:00,Desktop,Email,CA
user_14,add_to_cart,2023-05-19 06:15:00,Desktop,Email,CA
user_14,checkout_start,2023-05-19 06:58:00,Desktop,Email,CA
user_14,purchase_complete,2023-05-19 07:43:00,Desktop,Email,CA
user_15,landing_page,2023-06-17 10:59:00,Tablet,Direct,AU
user_15,product_view,2023-06-17 11:29:00,Tablet,Direct,AU
user_15,add_to_cart,2023-06-17 11:39:00,Tablet,Direct,AU
user_15,checkout_start,2023-06-17 11:54:00,Tablet,Direct,AU
user_15,purchase_complete,2023-06-17 12:28:00,Tablet,Direct,AU
user_16,landing_page,2023-06-30 09:29:00,Mobile,Organic Search,IN
user_16,product_view,2023-06-30 09:39:00,Mobile,Organic Search,IN
user_17,landing_page,2023-05-11 01:50:00,Mobile,Social Media,UK
user_17,product_view,2023-05-11 02:30:00,Mobile,Social Media,UK
user_17,add_to_cart,2023-05-11 02:41:00,Mobile,Social Media,UK
user_18,landing_page,2023-06-05 16:46:00,Desktop,Direct,AU
user_19,landing_page,2023-05-25 00:54:00,Tablet,Direct,BR
user_20,landing_page,2023-05-19 21:22:00,Tablet,Direct,AU
user_20,product_view,2023-05-19 21:43:00,Tablet,Direct,AU
user_20,add_to_cart,2023-05-19 21:54:00,Tablet,Direct,AU
user_20,checkout_start,2023-05-19 22:11:00,Tablet,Direct,AU
user_20,purchase_complete,2023-05-19 22:27:00,Tablet,Direct,AU
user_21,landing_page,2023-05-26 15:32:00,Tablet,Social Media,IN
user_21,product_view,2023-05-26 16:08:00,Tablet,Social Media,IN
user_21,add_to_cart,2023-05-26 16:24:00,Tablet,Social Media,IN
user_21,checkout_start,2023-05-26 16:26:00,Tablet,Social Media,IN
user_21,purchase_complete,2023-05-26 16:56:00,Tablet,Social Media,IN
user_22,landing_page,2023-06-25 02:26:00,Mobile,Email,AU
user_22,product_view,2023-06-25 02:46:00,Mobile,Email,AU
user_22,add_to_cart,2023-06-25 03:31:00,Mobile,Email,AU
user_23,landing_page,2023-06-05 20:26:00,Tablet,Organic Search,UK
user_23,product_view,2023-06-05 21:01:00,Tablet,Organic Search,UK
user_23,add_to_cart,2023-06-05 21:18:00,Tablet,Organic Search,UK
user_23,checkout_start,2023-06-05 21:44:00,Tablet,Organic Search,UK
user_23,purchase_complete,2023-06-05 21:51:00,Tablet,Organic Search,UK
user_24,landing_page,2023-06-20 11:23:00,Desktop,Paid Ads,AU
user_25,landing_page,2023-05-28 07:51:00,Mobile,Paid Ads,UK
user_25,product_view,2023-05-28 08:01:00,Mobile,Paid Ads,UK
user_26,landing_page,2023-05-09 09:13:00,Mobile,Direct,AU
user_27,landing_page,2023-05-07 00:18:00,Tablet,Social Media,FR
user_27,product_view,2023-05-07 00:47:00,Tablet,Social Media,FR
user_28,landing_page,2023-06-16 20:27:00,Tablet,Paid Ads,UK
user_28,product_view,2023-06-16 20:35:00,Tablet,Paid Ads,UK
user_28,add_to_cart,2023-06-16 20:47:00,Tablet,Paid Ads,UK
user_29,landing_page,2023-05-12 16:52:00,Desktop,Direct,DE
user_30,landing_page,2023-06-21 15:17:00,Tablet,Email,CA
user_30,product_view,2023-06-21 16:02:00,Tablet,Email,CA
user_30,add_to_cart,2023-06-21 16:03:00,Tablet,Email,CA
user_30,checkout_start,2023-06-21 16:39:00,Tablet,Email,CA
user_31,landing_page,2023-05-23 09:27:00,Desktop,Direct,IN
user_31,product_view,2023-05-23 10:01:00,Desktop,Direct,IN
user_31,add_to_cart,2023-05-23 10:33:00,Desktop,Direct,IN
user_32,landing_page,2023-05-21 03:57:00,Desktop,Organic Search,CA
user_32,product_view,2023-05-21 04:30:00,Desktop,Organic Search,CA
user_33,landing_page,2023-05-27 22:46:00,Tablet,Organic Search,JP
user_34,landing_page,2023-06-19 16:46:00,Desktop,Organic Search,US
user_34,product_view,2023-06-19 17:07:00,Desktop,Organic Search,US
user_34,add_to_cart,2023-06-19 17:24:00,Desktop,Organic Search,US
user_34,checkout_start,2023-06-19 17:34:00,Desktop,Organic Search,US
user_35,landing_page,2023-05-10 17:13:00,Mobile,Email,BR
user_35,product_view,2023-05-10 17:37:00,Mobile,Email,BR
